[31.28] node 0: n_msg = 3; bytes = 165392; sys_bytes = 168296
[32.36] node 0: n_msg = 28417; bytes = 405408; sys_bytes = 236732
[33.41] node 0: n_msg = 19183; bytes = 556240; sys_bytes = 427764
[34.51] node 0: n_msg = 18; bytes = 151568; sys_bytes = 158136
[35.58] node 0: n_msg = 32290; bytes = 671512; sys_bytes = 470296
[36.68] node 0: n_msg = 20193; bytes = 683512; sys_bytes = 561140
[37.75] node 0: n_msg = 26; bytes = 214896; sys_bytes = 220792
[38.81] node 0: n_msg = 32280; bytes = 293000; sys_bytes = 78752
[39.87] node 0: n_msg = 15653; bytes = 295432; sys_bytes = 199928
[40.94] node 0: n_msg = 16181; bytes = 177816; sys_bytes = 73636
[42.16] node 0: n_msg = 7982; bytes = 113224; sys_bytes = 77164
[43.22] node 0: n_msg = 19162; bytes = 153248; sys_bytes = 29356
[44.28] node 0: n_msg = 32761; bytes = 328640; sys_bytes = 311172
[45.55] node 0: n_msg = 1; bytes = 131072; sys_bytes = 133132
[46.69] node 0: n_msg = 4; bytes = 35600; sys_bytes = 197616
[47.96] node 0: n_msg = 20; bytes = 45296; sys_bytes = 189912
[48.96] node 0: n_msg = 2; bytes = 262144; sys_bytes = 132888
[50.04] node 0: n_msg = 4368; bytes = 34944; sys_bytes = 137800
[51.12] node 0: n_msg = 1178; bytes = 271552; sys_bytes = 269664
[52.20] node 0: n_msg = 0; bytes = 0; sys_bytes = 138036
[53.34] node 0: n_msg = 16; bytes = 30272; sys_bytes = 72264
[54.38] node 0: n_msg = 7; bytes = 170480; sys_bytes = 177444
[55.54] node 0: n_msg = 8065; bytes = 195584; sys_bytes = 141932
[56.59] node 0: n_msg = 4033; bytes = 163328; sys_bytes = 269932
[57.68] node 0: n_msg = 1; bytes = 131072; sys_bytes = 133132
[58.72] node 0: n_msg = 5; bytes = 37504; sys_bytes = 199640
[59.98] node 0: n_msg = 19; bytes = 172560; sys_bytes = 187860
[61.13] node 0: n_msg = 337; bytes = 133760; sys_bytes = 133672
[62.24] node 0: n_msg = 9073; bytes = 203648; sys_bytes = 278192
[63.39] node 0: n_msg = 1; bytes = 131072; sys_bytes = 132888
[64.45] node 0: n_msg = 2; bytes = 22304; sys_bytes = 188332
[65.53] node 0: n_msg = 18; bytes = 22992; sys_bytes = 38836
[66.62] node 0: n_msg = 4; bytes = 284448; sys_bytes = 293464
[67.84] node 0: n_msg = 8064; bytes = 64512; sys_bytes = 141688
[69.01] node 0: n_msg = 3866; bytes = 293056; sys_bytes = 270176
[70.09] node 0: n_msg = 0; bytes = 0; sys_bytes = 138036
[71.27] node 0: n_msg = 18; bytes = 32240; sys_bytes = 70296
[72.28] node 0: n_msg = 6; bytes = 168576; sys_bytes = 179412
[73.38] node 0: n_msg = 8065; bytes = 195584; sys_bytes = 141932
[74.51] node 0: n_msg = 4033; bytes = 163328; sys_bytes = 269932
[75.55] node 0: n_msg = 1; bytes = 131072; sys_bytes = 133132
[76.70] node 0: n_msg = 6; bytes = 39408; sys_bytes = 203328
[77.87] node 0: n_msg = 18; bytes = 172496; sys_bytes = 184172
[78.99] node 0: n_msg = 2857; bytes = 153920; sys_bytes = 137044
[80.17] node 0: n_msg = 7057; bytes = 187520; sys_bytes = 274820
[81.26] node 0: n_msg = 1; bytes = 131072; sys_bytes = 132888
[82.48] node 0: n_msg = 4; bytes = 35600; sys_bytes = 195172
[83.51] node 0: n_msg = 18; bytes = 22992; sys_bytes = 43332
[84.64] node 0: n_msg = 3; bytes = 273296; sys_bytes = 282128
[85.77] node 0: n_msg = 8064; bytes = 64512; sys_bytes = 9044
[86.85] node 0: n_msg = 3698; bytes = 291712; sys_bytes = 402820
[87.98] node 0: n_msg = 0; bytes = 0; sys_bytes = 132888
[89.07] node 0: n_msg = 12; bytes = 40448; sys_bytes = 71692
[90.14] node 0: n_msg = 13; bytes = 171520; sys_bytes = 183164
[91.30] node 0: n_msg = 7393; bytes = 190208; sys_bytes = 141860
[92.44] node 0: n_msg = 4033; bytes = 163328; sys_bytes = 270004
[93.51] node 0: n_msg = 1; bytes = 131072; sys_bytes = 133132
[94.62] node 0: n_msg = 5; bytes = 37504; sys_bytes = 201636
[95.87] node 0: n_msg = 18; bytes = 41488; sys_bytes = 185864
[96.97] node 0: n_msg = 1; bytes = 131072; sys_bytes = 133000
