[1.94] node 0: n_msg = 154279; bytes = 188064936; sys_bytes = 52880636
[3.11] node 0: n_msg = 48261; bytes = 423129600; sys_bytes = 109415470
[4.18] node 0: n_msg = 40992; bytes = 396555264; sys_bytes = 100317206
[5.22] node 0: n_msg = 41160; bytes = 396555264; sys_bytes = 100315023
[6.31] node 0: n_msg = 43176; bytes = 198390528; sys_bytes = 50169350
[7.38] node 0: n_msg = 149831; bytes = 114296180; sys_bytes = 29053453
[8.46] node 0: n_msg = 248688; bytes = 299652132; sys_bytes = 65127352
[9.55] node 0: n_msg = 73464; bytes = 414266112; sys_bytes = 104815429
[10.63] node 0: n_msg = 233872; bytes = 463523328; sys_bytes = 118304438
[11.73] node 0: n_msg = 209666; bytes = 385172352; sys_bytes = 98687610
[12.92] node 0: n_msg = 56280; bytes = 193536; sys_bytes = 27437
[13.93] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[15.08] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[16.12] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[17.20] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[18.29] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[19.32] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[20.42] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[21.48] node 0: n_msg = 148848; bytes = 900480; sys_bytes = 54053
[22.70] node 0: n_msg = 25032; bytes = 135744; sys_bytes = 10290
[23.78] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[24.82] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[25.91] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[26.98] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[28.08] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[29.15] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[30.21] node 0: n_msg = 168; bytes = 1344; sys_bytes = 0
[31.24] node 0: n_msg = 160944; bytes = 964992; sys_bytes = 58594
[32.29] node 0: n_msg = 16128; bytes = 96768; sys_bytes = 6468
[33.35] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[34.47] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[35.47] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[36.59] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[37.59] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[38.73] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[39.73] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[40.86] node 0: n_msg = 168000; bytes = 1021440; sys_bytes = 60736
[41.95] node 0: n_msg = 5208; bytes = 9408; sys_bytes = 3600
[43.06] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[44.12] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[45.20] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[46.25] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[47.34] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[48.40] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[49.51] node 0: n_msg = 504; bytes = 4032; sys_bytes = 0
[50.54] node 0: n_msg = 176568; bytes = 1057728; sys_bytes = 64263
[51.62] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[52.71] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[53.72] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[54.86] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[55.86] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[56.96] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[58.02] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[59.14] node 0: n_msg = 3024; bytes = 24192; sys_bytes = 416
[60.22] node 0: n_msg = 234833; bytes = 281112624; sys_bytes = 84586003
[61.34] node 0: n_msg = 198152; bytes = 436856832; sys_bytes = 110868415
[62.44] node 0: n_msg = 195744; bytes = 393113088; sys_bytes = 99527027
